order_id,total_price
296,40.75
467,12.5
675,20.5
691,20.75
829,57.5
1090,116.5
1159,20.75
1436,40.5
1512,16.5
1572,49.5
2069,32.75
2088,12.5
2136,49.25
2162,32.75
2294,12.5
2904,16.5
3210,56.25
3414,11.0
3606,57.5
3959,37.5
4032,29.0
4821,35.5
4937,32.5
5325,32.75
5645,58.25
5925,20.75
6194,61.25
6240,66.75
6613,16.0
6731,29.5
7252,20.75
7273,16.75
7711,17.5
8304,16.5
8433,47.75
7762,33.5
9009,39.25
9030,25.5
9583,54.25
9586,18.5
9993,45.25
10096,32.75
125,25.5
451,55.25
800,122.0
853,12.5
944,16.0
1372,24.0
1394,10.5
1669,20.75
2110,33.0
2275,32.5
2393,47.25
2464,16.75
2756,33.5
3015,16.75
3281,43.5
3368,12.5
3441,12.0
3517,28.5
3650,48.75
3826,41.0
3858,63.75
4838,144.5
4894,33.0
4975,18.5
5023,33.0
5067,16.5
5149,63.0
5523,14.5
5613,65.5
5657,53.75
6366,49.25
6558,16.5
6797,44.75
6248,75.95
7328,51.0
7362,33.25
7650,16.75
7655,16.0
7743,28.5
7994,20.75
8092,20.75
8306,28.0
8386,20.25
8965,36.75
9003,29.0
9032,16.75
9308,20.25
9407,12.5
9569,16.75
9630,31.0
9830,22.25
9975,48.5
666,16.5
870,33.25
919,20.5
926,63.75
1241,53.75
1265,183.25
1280,17.95
1361,31.25
1746,12.0
1808,28.0
1870,12.0
2696,62.25
2700,62.5
2725,226.25
2898,12.5
2917,40.5
3200,33.0
3526,16.5
2530,61.75
3836,16.0
3838,16.75
3949,20.75
4127,20.75
4850,69.75
5044,31.75
5181,33.25
5316,26.5
5757,29.0
5913,25.5
6081,53.5
6848,16.75
6900,20.75
6903,12.0
7056,20.25
7208,71.5
7248,87.75
7263,36.5
7378,213.2
7418,20.25
7487,46.0
7784,95.25
8621,22.5
8763,28.5
8832,76.75
7301,15.25
10114,20.75
10133,65.5
7,12.5
51,38.25
124,65.75
447,18.5
591,51.45
1528,35.95
1903,14.75
1953,16.5
2034,24.5
2550,20.25
2888,17.95
2895,192.2
2930,65.75
3121,20.5
3249,46.25
3266,35.65
3312,36.5
3652,62.5
4236,39.75
4249,32.5
4276,65.5
4583,32.25
4665,105.45
4988,46.25
5057,55.5
5082,16.5
5234,63.5
5297,20.25
5320,69.75
5408,32.75
6106,32.75
6143,10.5
6227,24.0
6252,62.0
6380,37.5
6732,77.5
6768,32.25
6820,10.5
6850,20.75
7054,16.5
7249,23.25
7616,45.25
8145,61.75
8153,34.0
8258,20.75
8409,52.15
8583,29.95
9196,16.0
9344,12.75
9544,12.0
9622,12.75
9835,30.45
9858,32.75
10110,41.0
307,37.25
475,32.75
574,16.75
718,37.5
1445,65.75
1500,77.5
1695,37.0
1773,49.25
613,12.0
1897,51.0
1957,218.5
2161,33.25
3057,12.75
3167,66.25
3491,17.5
3895,69.0
3898,20.75
3902,20.25
3993,37.5
4262,16.0
4464,41.5
4594,20.75
5048,72.75
5052,12.0
5134,10.5
5450,58.7
5986,70.25
6033,60.5
6348,12.75
6402,12.0
6464,26.5
6758,40.75
7013,45.0
7014,12.0
7093,54.0
7316,29.25
7541,20.75
7544,20.75
7574,36.5
8179,50.75
8279,54.25
8502,41.0
8701,48.75
8744,20.5
8082,18.5
9043,16.75
9109,29.5
9686,16.5
9911,20.75
169,46.2
205,42.0
334,70.25
544,32.25
577,36.25
581,20.25
740,280.95
747,53.25
1043,131.5
1425,57.75
1706,40.5
1880,53.25
1987,45.0
2129,66.25
2402,16.0
2477,25.5
2495,13.25
2644,47.25
2789,52.25
2808,44.5
2915,23.0
3179,75.25
3241,12.0
3299,29.95
3553,34.5
3786,34.0
3848,17.95
3875,37.5
4417,11.0
4465,21.0
4569,34.7
4672,16.0
4690,32.75
4719,16.75
4736,10.5
